ID;name;Age;Gender;Color1;Color2;Size;Breed;Date_found;Adoptable_from;Posted;Coat;Neutered;HouseBroker;likes_people;likes_children;get_along_males;get_along_females;get_along_cats;keep_in;;;;;;;;;;;;;;;;;;;;;;;
23796;;8;male;black;;medium;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;medium;no;;;;;;;;;;Info sur puffi;23778;Pufi;8;male;wild boar;;small;Unknown Mix;12/02/2019;12/17/2019;12/02/2019;short;no;;;;;;;
1802;Újhartyáni Bori;0.17;female;tricolor;;small;Unknown Mix;12/10/2019;12/10/2019;12/11/2019;short;no;;yes;yes;yes;yes;yes;flat;;;;;;;;;;;;;;;;;;;;;;;
1799;Dabasi Ixorn;0.83;male;black;;small;Unknown Mix;12/05/2019;12/05/2019;12/09/2019;wirehaired;yes;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23794;;1;male;yellow;brown;medium;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1393;Gizmo;0.5;male;spotty;;small;Unknown Mix;12/08/2019;12/10/2019;12/10/2019;medium;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23788;Sába;7.58;female;white;;large;Kuvasz;12/01/2019;12/16/2019;12/08/2019;medium;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4492;Döme;1;male;black;;medium;Unknown Mix;11/25/2019;11/25/2019;12/07/2019;medium;;;yes;;;;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4484;Jocelyn;0.17;female;apricot;;small;Unknown Mix;11/27/2019;11/27/2019;12/07/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23787;;0.67;female;yellow;brown;medium;Unknown Mix;12/07/2019;12/22/2019;12/07/2019;wirehaired;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4487;Katica;0.58;female;black;;small;Unknown Mix;12/03/2019;12/03/2019;12/07/2019;short;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4491;Bethany;5;female;black;brown;medium;Chinese Shar-Pei Mix;11/28/2019;11/28/2019;12/07/2019;SHORT;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4486;Cotta;0.15;female;brown;white;medium;Staffordshire Terrier Mix;12/01/2019;12/01/2019;12/07/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4488;Kehlani;0.42;female;black;brown;medium;German Shepherd Dog Mix;12/01/2019;12/01/2019;12/07/2019;short;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23790;;6;male;saddle black;;medium;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1798;Kakucsi Szikra;2.42;male;brown;;medium;Hungarian Vizsla;12/07/2019;12/07/2019;12/07/2019;short;no;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4489;Crosby;1;male;golden;;medium;Komondor, Puli Mix;11/27/2019;11/27/2019;12/07/2019;medium;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23784;;0.58;male;striped;;medium;Bull Terrier, Staffordshire Terrier Mix;12/06/2019;12/21/2019;12/07/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23789;;0.33;male;black;;small;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4490;Bowen;1;male;brown;;large;Unknown Mix;11/22/2019;11/22/2019;12/07/2019;medium;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4485;Panna;0.15;female;striped;;medium;Staffordshire Terrier Mix;12/01/2019;12/01/2019;12/07/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1795;Szolnoki Joker;1;male;black;white;small;Fox Terrier Mix;12/07/2019;12/07/2019;12/07/2019;wirehaired;yes;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1797;Sátoraljaújhelyi Dingó;2;male;yellow;;medium;Unknown Mix;12/05/2019;12/05/2019;12/07/2019;short;no;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4483;Valentin;0.67;male;apricot;;small;Unknown Mix;12/03/2019;12/03/2019;12/07/2019;short;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1796;Szolnoki Chris;1;male;brown;white;small;Fox Terrier Mix;12/07/2019;12/07/2019;12/07/2019;wirehaired;yes;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23791;;4;male;yellow;brown;medium;Unknown Mix;12/08/2019;12/23/2019;12/08/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23778;Pufi;8;male;wild boar;;small;Unknown Mix;12/02/2019;12/17/2019;12/02/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1048;Velencei Fiffi;9.25;female;brown;;medium;Afghan Hound;12/01/2019;12/04/2019;12/03/2019;long;yes;yes;yes;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
2138;Szálkás Kan Kölyök;0.5;male;brown;;medium;Unknown Mix;11/04/2019;11/04/2019;11/29/2019;wirehaired;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1793;Szakáldi Báró;1.42;male;brown;white;medium;Unknown Mix;12/03/2019;12/03/2019;12/05/2019;short;no;;yes;yes;no;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23777;;0.25;male;black;tan;small;Unknown Mix;12/02/2019;12/17/2019;12/02/2019;wirehaired;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2137;Hónapos Keverék Kan;0.5;male;tricolor;;medium;Unknown Mix;11/04/2019;11/04/2019;11/29/2019;medium;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2154;Kormi;6.5;male;black;;medium;Unknown Mix;10/07/2019;10/07/2019;12/05/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23780;;0.25;female;saddle black;;medium;Unknown Mix;12/04/2019;12/19/2019;12/04/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1049;Velencei Shyne On;8.42;female;striped;;medium;American Bulldog;12/01/2019;12/04/2019;12/03/2019;short;yes;yes;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
2153;Lili;3.5;female;brown;;medium;Unknown Mix;10/07/2019;10/07/2019;12/05/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530;Beagle Keverék Kutyusok;0.17;male;black;brown;medium;Beagle Mix;11/01/2019;11/01/2019;11/30/2019;short;no;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;
2136;Hónapos Szuka;0.5;female;brown;;medium;Unknown Mix;11/04/2019;11/04/2019;11/29/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
531;Beagle Keverék Kutyus;0.17;female;brown;white;medium;Beagle Mix;11/01/2019;11/01/2019;11/30/2019;SHORT;no;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;
23774;;1.58;male;yellow;brown;small;Unknown Mix;12/01/2019;12/16/2019;12/01/2019;wirehaired;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1794;Sátoraljaújhelyi Gesztenye;1.42;male;brown;;medium;Hungarian Vizsla, Staffordshire Terrier Mix;12/05/2019;12/05/2019;12/05/2019;short;no;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1792;Kakucsi Henrik;1.42;male;yellow;brown;small;Terrier Mix;12/01/2019;12/01/2019;12/01/2019;medium;no;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
7927;Sajóörsi Foxi És Maxi;0.17;male;black;brown;small;Unknown Mix;12/05/2019;12/06/2019;12/05/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2152;Elsa;2.33;female;brown;;medium;Unknown Mix;10/07/2019;10/07/2019;12/05/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1047;Velencei Gavallér;9.17;male;brown;white;large;Hungarian Greyhound;12/01/2019;12/04/2019;12/03/2019;short;yes;yes;yes;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
23776;;1.58;male;yellow;brown;small;Unknown Mix;12/01/2019;12/16/2019;12/01/2019;wirehaired;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1046;Nagyhalászi Szellõ;0.5;female;yellow;;medium;Greyhound Mix;11/27/2019;11/30/2019;11/27/2019;short;;;;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
4481;Allegra;0.42;female;black;brown;small;Unknown Mix;11/28/2019;11/28/2019;11/28/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1791;Dabasi Bors;1;male;brown;;medium;Staffordshire Terrier Mix;11/28/2019;11/28/2019;11/28/2019;short;no;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1787;Inárcsi Hektor;0.25;male;yellow;brown;medium;German Shepherd Dog, Staffordshire Terrier Mix;11/24/2019;11/24/2019;11/25/2019;short;no;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23757;Vlad;0.17;male;yellow;brown;small;Unknown Mix;11/27/2019;12/12/2019;11/27/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23756;Zsömi;6;male;yellow;brown;medium;Unknown Mix;11/26/2019;12/11/2019;11/26/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4482;Pongólina;0.58;female;apricot;;medium;Unknown Mix;11/15/2019;11/15/2019;11/28/2019;short;;;yes;;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1041;Pola;2;female;yellow;;medium;English Greyhound, Spanish Greyhound Mix;11/17/2019;11/18/2019;11/25/2019;short;yes;yes;yes;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
1042;Bongó;2;male;black;white;medium;Greyhound Mix;11/17/2019;11/18/2019;11/25/2019;short;yes;;;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4480;Lummia;0.33;female;black;;medium;Unknown Mix;11/25/2019;11/25/2019;11/28/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1220;King;2.92;male;wild boar;;medium;Dachshund Mix;9/20/2019;9/20/2019;11/25/2019;short;yes;;yes;yes;yes;yes;;flat;;;;;;;;;;;;;;;;;;;;;;;
1044;Duster;1;male;yellow;;medium;Greyhound Mix;11/17/2019;11/18/2019;11/25/2019;short;;;yes;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
1045;Barcsi Detre;0.5;male;striped;;medium;Greyhound Mix;11/26/2019;11/30/2019;11/27/2019;short;;;;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
23761;;2;male;black;;medium;Unknown Mix;11/27/2019;12/08/2019;11/28/2019;long;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1043;Babóca;2;female;spotty;;medium;Greyhound Mix;11/17/2019;11/17/2019;11/25/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23762;;4;male;black;;medium;Unknown Mix;11/27/2019;12/08/2019;11/28/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1788;Szolnoki Sanyi;1;male;black;white;small;Terrier Mix;11/26/2019;11/26/2019;11/27/2019;short;no;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1790;Újszászi Ász;4;male;black;white;small;Fox Terrier Mix;11/26/2019;11/26/2019;11/28/2019;short;no;;yes;yes;no;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1789;Szolnoki Puszedli;1.42;female;black;brown;small;Unknown Mix;11/26/2019;11/26/2019;11/27/2019;medium;no;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
2135;Szálkás Szuka;0.5;female;black;tan;small;Unknown Mix;11/04/2019;11/04/2019;11/29/2019;wirehaired;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4475;Chance;1.25;male;black;;medium;Unknown Mix;11/09/2019;11/09/2019;11/17/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4476;Hope;1.25;male;black;;medium;Unknown Mix;11/09/2019;11/09/2019;11/17/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1082;Nelly;3.08;female;black;white;medium;Unknown Mix;05/10/2019;05/10/2019;11/21/2019;short;yes;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23746;;0.25;female;gray;white;medium;Unknown Mix;11/21/2019;12/06/2019;11/21/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23751;Pici;1;male;yellow;brown;medium;Unknown Mix;11/22/2019;11/22/2019;11/22/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1039;Gyõri Tictac;1.58;male;black;white;medium;Greyhound Mix;10/18/2019;11/20/2019;11/19/2019;short;yes;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23754;;1;male;black;white;medium;Staffordshire Terrier Mix;11/25/2019;12/10/2019;11/25/2019;short;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23745;Tigris;5;male;striped;;medium;Unknown Mix;11/21/2019;11/21/2019;11/21/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4479;Gomez;0.5;male;white;;small;Unknown Mix;11/11/2019;11/11/2019;11/17/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1083;Aliz;5.58;female;yellow;brown;medium;Unknown Mix;08/10/2019;08/10/2019;11/21/2019;short;yes;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4477;Sebastian;0.17;male;apricot;;small;Unknown Mix;11/12/2019;11/12/2019;11/17/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
3;Vacok;2.42;male;apricot;;medium;Dachshund, Fox Terrier Mix;06/12/2019;06/12/2019;11/24/2019;short;yes;yes;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1785;Kakucsi Pötyi;0.33;female;apricot;;medium;Chinese Shar-Pei, Dachshund Mix;11/18/2019;11/18/2019;11/19/2019;short;;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1085;Doc;0.58;male;tricolor;;medium;Unknown Mix;5/15/2019;5/15/2019;11/21/2019;short;yes;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1086;Speedy;1.25;male;gray;black;small;Unknown Mix;2/14/2019;2/14/2019;11/21/2019;medium;yes;;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4478;Charlotte;3.08;female;black;white;small;Unknown Mix;10/31/2019;10/31/2019;11/17/2019;short;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
529;Chili;0.17;female;golden;;medium;Staffordshire Terrier;10/01/2019;10/01/2019;11/24/2019;short;yes;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;
1786;Mártélyi Bence;0.75;male;striped;;medium;Bull Terrier Mix;11/17/2019;11/25/2019;11/24/2019;short;;;yes;;yes;yes;;flat;;;;;;;;;;;;;;;;;;;;;;;
1783;Dabasi Kócos;7;female;black;white;small;Fox Terrier Mix;11/18/2019;11/18/2019;11/19/2019;wirehaired;no;yes;yes;no;yes;yes;no;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23752;;0.25;male;striped;;medium;Unknown Mix;11/24/2019;12/09/2019;11/25/2019;short;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23736;Csöpi;9.33;female;saddle black;;large;German Shepherd Dog Mix;11/14/2019;11/29/2019;11/14/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23730;Suzi;13.08;female;sable;;large;German Shepherd Dog Mix;11/13/2019;11/28/2019;11/14/2019;medium;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23731;;5;male;black;white;large;Unknown Mix;11/14/2019;11/29/2019;11/14/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23735;;1;male;yellow;brown;small;Unknown Mix;10/26/2019;11/10/2019;11/14/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1775;Miskolci Kuba;1.25;male;tricolor;;medium;Beagle, Hound Mix;11/12/2019;11/12/2019;11/12/2019;short;no;;yes;yes;no;yes;no;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
3521;Panna;7.58;female;black;;medium;Unknown Mix;4/17/2013;4/17/2013;11/13/2019;wirehaired;yes;;;;;;;garden;;;;;;;;;;;;;;;;;;;;;;;
1037;Lõrinci Balu;10.75;male;spotty;;medium;Greyhound Mix;11/06/2019;11/06/2019;11/14/2019;short;yes;yes;yes;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
23733;;3;male;yellow;brown;small;Unknown Mix;10/26/2019;11/10/2019;11/14/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3519;Alfi;8.33;male;black;;large;Unknown Mix;8/25/2012;8/25/2012;11/13/2019;wirehaired;yes;;;;;;;garden;;;;;;;;;;;;;;;;;;;;;;;
23739;Taxi;8;female;yellow;brown;large;Unknown Mix;11/16/2019;12/01/2019;11/16/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23738;Bambi;5.5;female;striped;;large;Unknown Mix;11/16/2019;12/01/2019;11/16/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1038;Pécsi Kajla;1;male;black;;medium;Greyhound Mix;09/09/2019;11/10/2019;11/14/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3518;Benji;9.67;male;yellow;brown;medium;Terrier Mix;4/17/2013;4/17/2013;11/13/2019;wirehaired;;;;;;;;garden;;;;;;;;;;;;;;;;;;;;;;;
3516;Liza;1.08;female;black;;medium;Unknown Mix;11/11/2019;12/14/2019;11/13/2019;short;;;yes;yes;yes;;;garden;;;;;;;;;;;;;;;;;;;;;;;
3520;Sajti;12.67;male;white;;large;Unknown Mix;03/01/2009;03/01/2009;11/13/2019;long;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1778;Alsónémedi Sidney;0.42;female;black;;small;Dachshund, German Shepherd Dog Mix;11/11/2019;11/11/2019;11/12/2019;short;no;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1390;Mazda;4.25;male;apricot;;large;Unknown Mix;3/16/2018;3/16/2018;11/14/2019;short;yes;yes;yes;;no;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1781;Miskolci Lupidu;1.17;male;striped;;medium;Staffordshire Terrier Mix;11/12/2019;11/12/2019;11/12/2019;short;yes;yes;yes;yes;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1388;Gina És Genova;0.17;female;black;;medium;Unknown Mix;9/20/2019;9/20/2019;11/14/2019;short;;no;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23734;;2;male;yellow;brown;small;Unknown Mix;10/26/2019;11/10/2019;11/14/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23719;;6.08;male;brown;white;medium;Staffordshire Terrier Mix;11/06/2019;11/21/2019;11/06/2019;short;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2123;Kormi;6.5;male;black;;medium;Unknown Mix;10/07/2019;10/07/2019;11/02/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23717;*;1.08;female;saddle black;;medium;German Shepherd Dog Mix;11/06/2019;11/21/2019;11/06/2019;medium;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2127;Cézár;7.33;male;brown;;large;Unknown Mix;10/07/2019;10/07/2019;11/02/2019;short;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2124;Lili;3.5;female;brown;;large;Cane Corso Mix;10/07/2019;10/07/2019;11/02/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;Zénó;0.5;male;black;tan;medium;Jagd Terrier Mix;11/01/2019;11/01/2019;11/02/2019;short;;;yes;yes;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4472;Marley;0.5;female;white;;small;Unknown Mix;10/31/2019;10/31/2019;11/06/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1773;Ózdi Hello;1.33;male;black;;small;Unknown Mix;11/11/2019;11/11/2019;11/11/2019;short;yes;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1036;Szolnoki Királyfi;2.25;male;spotty;;medium;Whippet Mix;11/01/2019;11/02/2019;11/10/2019;short;yes;yes;;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
3512;Lujzi;1.42;female;black;brown;small;Unknown Mix;11/02/2019;12/14/2019;11/05/2019;short;;;yes;;yes;;;garden;;;;;;;;;;;;;;;;;;;;;;;
4470;Sün;0.5;male;black;brown;small;Unknown Mix;10/31/2019;10/31/2019;11/06/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
2125;Elsa;2.33;female;brown;;medium;Unknown Mix;10/07/2019;10/07/2019;11/02/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2129;Jockey;1.58;male;brown;;large;Unknown Mix;10/07/2019;10/07/2019;11/06/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1774;Ózdi Timon;3.25;male;brown;white;small;Norfolk Terrier Mix;11/11/2019;11/11/2019;11/11/2019;short;yes;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4473;Lili;0.75;female;brown;;small;Unknown Mix;10/06/2019;10/06/2019;11/06/2019;short;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4474;Aspen;1.58;female;apricot;;small;Unknown Mix;10/31/2019;10/31/2019;11/06/2019;medium;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
23711;Liza;2.58;female;brown;white;medium;Unknown Mix;11/02/2019;11/02/2019;11/02/2019;short;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1035;Szigetszentmiklósi Füge;1.17;male;spotty;;medium;Greyhound Mix;11/05/2019;11/06/2019;11/05/2019;short;yes;yes;yes;;;;;flat;;;;;;;;;;;;;;;;;;;;;;;
4469;Pongo;0.67;male;apricot;;medium;Unknown Mix;10/31/2019;10/31/2019;11/06/2019;short;;;yes;;;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
4468;Leopold;0.15;male;black;brown;medium;Unknown Mix;10/24/2019;10/24/2019;11/06/2019;medium;;;yes;;yes;yes;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
3505;Kincsõ;2.17;female;white;;medium;Dalmatian Mix;10/14/2019;01/01/2020;10/20/2019;short;;;;;;;;garden;;;;;;;;;;;;;;;;;;;;;;;
1755;Pétervásásrai Robin;0.25;male;white;;medium;Unknown Mix;9/19/2019;11/01/2019;10/21/2019;short;no;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1033;Siófoki Szafi;11.08;female;yellow;;medium;Greyhound Mix;8/31/2019;09/03/2019;10/26/2019;short;yes;yes;yes;yes;yes;yes;;flat;;;;;;;;;;;;;;;;;;;;;;;
3506;Kira;3.17;female;striped;;medium;Unknown Mix;10/14/2019;11/16/2019;10/20/2019;short;yes;;yes;yes;yes;;;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
1757;Pétervásásrai Ralf;0.25;male;brown;;medium;Unknown Mix;9/19/2019;9/19/2019;10/21/2019;short;no;;yes;yes;yes;yes;yes;both flat and garden;;;;;;;;;;;;;;;;;;;;;;;
